utc,endpoint,head,occupancyCall
2026-08-19T19:28:46.045Z,QuickNodeEP1,45699718,HTTP 503
2026-08-19T19:28:46.045Z,CoinbasePub,45699719,HTTP 503
2026-08-19T19:29:46.172Z,QuickNodeEP1,45699748,HTTP 503
2026-08-19T19:29:46.172Z,CoinbasePub,45699749,HTTP 503
2026-08-19T19:30:46.045Z,QuickNodeEP1,45699778,127
2026-08-19T19:30:46.045Z,CoinbasePub,45699779,127
2026-08-19T19:31:45.539Z,QuickNodeEP1,45699808,127
2026-08-19T19:31:45.539Z,CoinbasePub,45699808,127
2026-08-19T19:32:46.507Z,QuickNodeEP1,45699838,127
2026-08-19T19:32:46.507Z,CoinbasePub,45699839,127
2026-08-19T19:33:46.179Z,QuickNodeEP1,45699868,127
2026-08-19T19:33:46.179Z,CoinbasePub,45699869,127
2026-08-19T19:34:46.141Z,QuickNodeEP1,45699898,127
2026-08-19T19:34:46.141Z,CoinbasePub,45699899,127
2026-08-19T19:35:46.136Z,QuickNodeEP1,45699928,127
2026-08-19T19:35:46.136Z,CoinbasePub,45699929,127
2026-08-19T19:36:46.131Z,QuickNodeEP1,45699958,127
2026-08-19T19:36:46.131Z,CoinbasePub,45699959,127
2026-08-19T19:37:46.134Z,QuickNodeEP1,45699988,127
2026-08-19T19:37:46.134Z,CoinbasePub,45699989,127
2026-08-19T19:38:45.690Z,QuickNodeEP1,45700018,127
2026-08-19T19:38:45.690Z,CoinbasePub,45700018,127
2026-08-19T19:39:45.629Z,QuickNodeEP1,45700048,127
2026-08-19T19:39:45.629Z,CoinbasePub,45700048,127
2026-08-19T19:40:45.587Z,QuickNodeEP1,45700078,127
2026-08-19T19:40:45.587Z,CoinbasePub,45700078,127
2026-08-19T19:41:45.593Z,QuickNodeEP1,45700108,127
2026-08-19T19:41:45.593Z,CoinbasePub,45700108,127
2026-08-19T19:42:45.679Z,QuickNodeEP1,45700138,127
2026-08-19T19:42:45.679Z,CoinbasePub,45700138,127
2026-08-19T19:43:45.593Z,QuickNodeEP1,45700168,127
2026-08-19T19:43:45.593Z,CoinbasePub,45700168,127
2026-08-19T19:44:45.626Z,QuickNodeEP1,45700198,127
2026-08-19T19:44:45.626Z,CoinbasePub,45700198,127
2026-08-19T19:45:45.635Z,QuickNodeEP1,45700228,127
2026-08-19T19:45:45.635Z,CoinbasePub,45700228,127
2026-08-19T19:46:45.990Z,QuickNodeEP1,45700258,127
2026-08-19T19:46:45.990Z,CoinbasePub,45700258,127
2026-08-19T19:47:45.584Z,QuickNodeEP1,45700288,127
2026-08-19T19:47:45.584Z,CoinbasePub,45700288,127
2026-08-19T19:48:45.635Z,QuickNodeEP1,45700318,127
2026-08-19T19:48:45.635Z,CoinbasePub,45700318,127
2026-08-19T19:49:46.145Z,QuickNodeEP1,45700348,127
2026-08-19T19:49:46.145Z,CoinbasePub,45700349,127
2026-08-19T19:50:46.203Z,QuickNodeEP1,45700378,127
2026-08-19T19:50:46.203Z,CoinbasePub,45700379,127
2026-08-19T19:51:45.621Z,QuickNodeEP1,45700408,127
2026-08-19T19:51:45.621Z,CoinbasePub,45700408,127
2026-08-19T19:52:45.682Z,QuickNodeEP1,45700438,127
2026-08-19T19:52:45.682Z,CoinbasePub,45700438,127
2026-08-19T19:53:45.575Z,QuickNodeEP1,45700468,127
2026-08-19T19:53:45.575Z,CoinbasePub,45700468,127
2026-08-19T19:54:45.651Z,QuickNodeEP1,45700498,127
2026-08-19T19:54:45.651Z,CoinbasePub,45700498,127
2026-08-19T19:55:46.272Z,QuickNodeEP1,45700528,127
2026-08-19T19:55:46.272Z,CoinbasePub,45700529,127
2026-08-19T19:56:46.181Z,QuickNodeEP1,45700558,127
2026-08-19T19:56:46.181Z,CoinbasePub,45700559,127
2026-08-19T19:57:46.103Z,QuickNodeEP1,45700588,127
2026-08-19T19:57:46.103Z,CoinbasePub,45700589,127
2026-08-19T19:58:46.173Z,QuickNodeEP1,45700618,127
2026-08-19T19:58:46.173Z,CoinbasePub,45700619,127
2026-08-19T19:59:46.139Z,QuickNodeEP1,45700648,127
2026-08-19T19:59:46.139Z,CoinbasePub,45700649,127
2026-08-19T20:00:46.229Z,QuickNodeEP1,45700678,127
2026-08-19T20:00:46.229Z,CoinbasePub,45700679,127
2026-08-19T20:01:46.134Z,QuickNodeEP1,45700708,127
2026-08-19T20:01:46.134Z,CoinbasePub,45700709,127
2026-08-19T20:02:45.766Z,QuickNodeEP1,45700738,127
2026-08-19T20:02:45.766Z,CoinbasePub,45700738,127
2026-08-19T20:03:45.612Z,QuickNodeEP1,45700768,127
2026-08-19T20:03:45.612Z,CoinbasePub,45700768,127
2026-08-19T20:04:46.204Z,QuickNodeEP1,45700798,127
2026-08-19T20:04:46.204Z,CoinbasePub,45700799,127
2026-08-19T20:05:46.161Z,QuickNodeEP1,45700828,127
2026-08-19T20:05:46.161Z,CoinbasePub,45700829,127
2026-08-19T20:06:46.158Z,QuickNodeEP1,45700858,127
2026-08-19T20:06:46.158Z,CoinbasePub,45700859,127
2026-08-19T20:07:46.183Z,QuickNodeEP1,45700888,127
2026-08-19T20:07:46.183Z,CoinbasePub,45700889,127
2026-08-19T20:08:45.631Z,QuickNodeEP1,45700918,127
2026-08-19T20:08:45.631Z,CoinbasePub,45700918,127
2026-08-19T20:09:45.614Z,QuickNodeEP1,45700948,127
2026-08-19T20:09:45.614Z,CoinbasePub,45700948,127
2026-08-19T20:10:46.203Z,QuickNodeEP1,45700978,127
2026-08-19T20:10:46.203Z,CoinbasePub,45700979,127
2026-08-19T20:11:46.147Z,QuickNodeEP1,45701008,127
2026-08-19T20:11:46.147Z,CoinbasePub,45701009,127
2026-08-19T20:12:45.668Z,QuickNodeEP1,45701038,127
2026-08-19T20:12:45.668Z,CoinbasePub,45701038,127
2026-08-19T20:13:45.746Z,QuickNodeEP1,45701068,127
2026-08-19T20:13:45.746Z,CoinbasePub,45701068,127
2026-08-19T20:14:46.426Z,QuickNodeEP1,45701098,127
2026-08-19T20:14:46.426Z,CoinbasePub,45701099,127
2026-08-19T20:15:46.121Z,QuickNodeEP1,45701128,127
2026-08-19T20:15:46.121Z,CoinbasePub,45701129,127
2026-08-19T20:16:45.623Z,QuickNodeEP1,45701158,127
2026-08-19T20:16:45.623Z,CoinbasePub,45701158,127
2026-08-19T20:17:45.568Z,QuickNodeEP1,45701188,127
2026-08-19T20:17:45.568Z,CoinbasePub,45701188,127
2026-08-19T20:18:45.742Z,QuickNodeEP1,45701218,127
2026-08-19T20:18:45.742Z,CoinbasePub,45701218,127
2026-08-19T20:19:45.659Z,QuickNodeEP1,45701248,127
2026-08-19T20:19:45.659Z,CoinbasePub,45701248,127
2026-08-19T20:20:46.246Z,QuickNodeEP1,45701278,127
2026-08-19T20:20:46.246Z,CoinbasePub,45701279,127
2026-08-19T20:21:46.175Z,QuickNodeEP1,45701308,127
2026-08-19T20:21:46.175Z,CoinbasePub,45701309,127
2026-08-19T20:22:46.367Z,QuickNodeEP1,45701338,127
2026-08-19T20:22:46.367Z,CoinbasePub,45701339,127
2026-08-19T20:23:46.250Z,QuickNodeEP1,45701368,127
2026-08-19T20:23:46.250Z,CoinbasePub,45701369,127
2026-08-19T20:24:46.263Z,QuickNodeEP1,45701398,127
2026-08-19T20:24:46.263Z,CoinbasePub,45701399,127
2026-08-19T20:25:45.692Z,QuickNodeEP1,45701428,127
2026-08-19T20:25:45.692Z,CoinbasePub,45701428,127
2026-08-19T20:26:45.751Z,QuickNodeEP1,45701458,127
2026-08-19T20:26:45.751Z,CoinbasePub,45701458,127
2026-08-19T20:27:46.239Z,QuickNodeEP1,45701488,127
2026-08-19T20:27:46.239Z,CoinbasePub,45701489,127
2026-08-19T20:28:46.314Z,QuickNodeEP1,45701518,127
2026-08-19T20:28:46.314Z,CoinbasePub,45701519,127
2026-08-19T20:29:46.182Z,QuickNodeEP1,45701548,127
2026-08-19T20:29:46.182Z,CoinbasePub,45701549,127
2026-08-19T20:30:45.858Z,QuickNodeEP1,45701578,127
2026-08-19T20:30:45.858Z,CoinbasePub,45701578,127
2026-08-19T20:31:46.433Z,QuickNodeEP1,45701608,127
2026-08-19T20:31:46.433Z,CoinbasePub,45701609,127
2026-08-19T20:32:46.281Z,QuickNodeEP1,45701638,127
2026-08-19T20:32:46.281Z,CoinbasePub,45701639,127
2026-08-19T20:33:45.835Z,QuickNodeEP1,45701668,127
2026-08-19T20:33:45.835Z,CoinbasePub,45701668,127
2026-08-19T20:34:45.758Z,QuickNodeEP1,45701698,127
2026-08-19T20:34:45.758Z,CoinbasePub,45701698,127
2026-08-19T20:35:46.622Z,QuickNodeEP1,45701728,127
2026-08-19T20:35:46.622Z,CoinbasePub,45701729,127
2026-08-19T20:36:46.340Z,QuickNodeEP1,45701758,127
2026-08-19T20:36:46.340Z,CoinbasePub,45701759,127
2026-08-19T20:37:45.763Z,QuickNodeEP1,45701788,127
2026-08-19T20:37:45.763Z,CoinbasePub,45701788,127
2026-08-19T20:38:45.707Z,QuickNodeEP1,45701818,127
2026-08-19T20:38:45.707Z,CoinbasePub,45701818,127
2026-08-19T20:39:45.789Z,QuickNodeEP1,45701848,127
2026-08-19T20:39:45.789Z,CoinbasePub,45701848,127
2026-08-19T20:40:46.295Z,QuickNodeEP1,45701878,127
2026-08-19T20:40:46.295Z,CoinbasePub,45701879,127
2026-08-19T20:41:45.862Z,QuickNodeEP1,45701908,127
2026-08-19T20:41:45.862Z,CoinbasePub,45701908,127
2026-08-19T20:42:46.382Z,QuickNodeEP1,45701938,127
2026-08-19T20:42:46.382Z,CoinbasePub,45701939,127
2026-08-19T20:43:46.323Z,QuickNodeEP1,45701968,127
2026-08-19T20:43:46.323Z,CoinbasePub,45701969,127
2026-08-19T20:44:46.297Z,QuickNodeEP1,45701998,127
2026-08-19T20:44:46.297Z,CoinbasePub,45701999,127
2026-08-19T20:45:45.772Z,QuickNodeEP1,45702028,127
2026-08-19T20:45:45.772Z,CoinbasePub,45702028,127
2026-08-19T20:46:45.788Z,QuickNodeEP1,45702058,127
2026-08-19T20:46:45.788Z,CoinbasePub,45702058,127
2026-08-19T20:47:45.824Z,QuickNodeEP1,45702088,127
2026-08-19T20:47:45.824Z,CoinbasePub,45702088,127
2026-08-19T20:48:45.717Z,QuickNodeEP1,45702118,127
2026-08-19T20:48:45.717Z,CoinbasePub,45702118,127
2026-08-19T20:49:45.749Z,QuickNodeEP1,45702148,127
2026-08-19T20:49:45.749Z,CoinbasePub,45702148,127
2026-08-19T20:50:45.734Z,QuickNodeEP1,45702178,127
2026-08-19T20:50:45.734Z,CoinbasePub,45702178,127
2026-08-19T20:51:45.816Z,QuickNodeEP1,45702208,127
2026-08-19T20:51:45.816Z,CoinbasePub,45702208,127
2026-08-19T20:52:45.788Z,QuickNodeEP1,45702238,127
2026-08-19T20:52:45.788Z,CoinbasePub,45702238,127
2026-08-19T20:53:46.357Z,QuickNodeEP1,45702268,127
